mac_address,name,node_type,device_type,in_use,,,,,
476a5fe300410020,LoRa Node 070,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059fd7,LoRa Node 071,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000058543,LoRa Node 072,LoRa Node,RHF76-052AM,1,,,,,
475a5fe300300019,LoRa Node 073,LoRa Node,RHF76-052AM,1,,,,,
472b544e00450034,LoRa Node 074,LoRa Node,RHF76-052AM,1,,,,,
478b558000330027,LoRa Node 075,LoRa Node,RHF76-052AM,1,,,,,
479b558000380033,LoRa Node 076,LoRa Node,RHF76-052AM,1,,,,,
470a55800048003e,LoRa Node 077,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3002e0018,LoRa Node 078,LoRa Node,RHF76-052AM,1,,,,,
47bb558000280041,LoRa Node 079,LoRa Node,RHF76-052AM,1,,,,,
8cf957200005854f,LoRa Node 080,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3002d001f,LoRa Node 081,LoRa Node,RHF76-052AM,1,,,,,
8cf957200005a011,LoRa Node 082,LoRa Node,RHF76-052AM,1,,,,,
8cf95720000589cc,LoRa Node 083,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000058551,LoRa Node 084,LoRa Node,RHF76-052AM,1,,,,,
8cf957200005a003,LoRa Node 085,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059e85,LoRa Node 086,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059fb4,LoRa Node 087,LoRa Node,RHF76-052AM,1,,,,,
47db558000370043,LoRa Node 088,LoRa Node,RHF76-052AM,1,,,,,
47bb5580002c0042,LoRa Node 089,LoRa Node,RHF76-052AM,1,,,,,
472b544e00270044,LoRa Node 090,LoRa Node,RHF76-052AM,1,,,,,
8cf957200005a0d5,LoRa Node 091,LoRa Node,RHF76-052AM,1,,,,,
479b558000230033,LoRa Node 092,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059ee7,LoRa Node 093,LoRa Node,RHF76-052AM,1,,,,,
472b544e001a0037,LoRa Node 094,LoRa Node,RHF76-052AM,1,,,,,
475a5fe300270019,LoRa Node 095,LoRa Node,RHF76-052AM,1,,,,,
47bb5580002e0020,LoRa Node 096,LoRa Node,RHF76-052AM,1,,,,,
477b41f20047002e,LoRa Node 097,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3002a0019,LoRa Node 098,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3002e0023,LoRa Node 099,LoRa Node,RHF76-052AM,1,,,,,
475a5fe30028001f,LoRa Node 100,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059e7e,LoRa Node 101,LoRa Node,RHF76-052AM,1,,,,,
471a55800038004e,LoRa Node 102,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3002c0020,LoRa Node 103,LoRa Node,RHF76-052AM,1,,,,,
475a5fe3002e0036,LoRa Node 104,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059fcd,LoRa Node 105,LoRa Node,RHF76-052AM,1,,,,,
477b41f2004c002a,LoRa Node 106,LoRa Node,RHF76-052AM,1,,,,,
477b41f200290024,LoRa Node 107,LoRa Node,RHF76-052AM,1,,,,,
475a5fe30039002a,LoRa Node 108,LoRa Node,RHF76-052AM,1,,,,,
8cf95720000681e8,LoRa Node 109,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000065e5e,LoRa Node 110,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000064eb2,LoRa Node 111,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000064c34,LoRa Node 112,LoRa Node,RHF76-052AM,1,,,,,
8cf95720000681e0,LoRa Node 113,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000065e87,LoRa Node 114,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000065f92,LoRa Node 115,LoRa Node,RHF76-052AM,1,,,,,
8cf957200006462d,LoRa Node 116,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000065e93,LoRa Node 117,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000067228,LoRa Node 118,LoRa Node,RHF76-052AM,1,,,,,
472b544e00250037,LoRa Node 119,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059b27,LoRa Node 120,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059e9a,LoRa Node 121,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000065f9b,LoRa Node 122,LoRa Node,RHF76-052AM,1,,,,,
8cf95720000671cd,LoRa Node 123,LoRa Node,RHF76-052AM,1,,,,,
8cf957200006720f,LoRa Node 124,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000065f7d,LoRa Node 125,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000064c08,LoRa Node 126,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000065e8f,LoRa Node 127,LoRa Node,RHF76-052AM,1,,,,,
8cf95720000681db,LoRa Node 128,LoRa Node,RHF76-052AM,1,,,,,
8cf9572000059e81,LoRa Node 200,LoRa Node,RHF76-052AM,1,,,,,
2cf7f12032305202,PoLo Node 01,LoRa Node,STM32WLE5JC,1,,,,,
001e0648dc05,PoLo Node 01,PoLo Node,C4,0,,,,,
2cf7f1203230535d,PoLo Node 02,PoLo Node,STM32WLE5JC,1,,,,,
001e06486d80,PoLo Node 02,PoLo Node,C4,0,,,,,
2cf7f12032304ba6,PoLo Node 03,PoLo Node,STM32WLE5JC,1,,,,,
001e064a16ec,PoLo Node 03,PoLo Node,C4,0,,,,,
2cf7f12032303543,PoLo Node 04,PoLo Node,STM32WLE5JC,1,,,,,
001e0648f331,PoLo Node 04,PoLo Node,C4,0,,,,,
2cf7f12032304b53,PoLo Node 05,PoLo Node,STM32WLE5JC,1,,,,,
001e0648f353,PoLo Node 05,PoLo Node,C4,0,,,,,
2cf7f12032304aec,PoLo Node 06,PoLo Node,STM32WLE5JC,1,,,,,
001e0648f352,PoLo Node 06,PoLo Node,C4,0,,,,,
2cf7f12032304bd8,PoLo Node 07,PoLo Node,STM32WLE5JC,1,,,,,
001e0648f31b,PoLo Node 07,PoLo Node,C4,0,,,,,
2cf7f12032303bc6,PoLo Node 08,PoLo Node,STM32WLE5JC,1,,,,,
001e064a151b,PoLo Node 08,PoLo Node,C4,0,,,,,
2cf7f12032303e79,PoLo Node 09,PoLo Node,STM32WLE5JC,1,,,,,
001e064a16eb,PoLo Node 09,PoLo Node,C4,0,,,,,
2cf7f12032303b33,PoLo Node 10,PoLo Node,STM32WLE5JC,1,,,,,
001e064a16f0,PoLo Node 10,PoLo Node,C4,0,,,,,
2cf7f12032304cc3,PoLo Node 11,PoLo Node,STM32WLE5JC,1,,,,,
001e0648d0f9,PoLo Node 11,PoLo Node,C4,0,,,,,
2cf7f120323035df,PoLo Node 12,PoLo Node,STM32WLE5JC,1,,,,,
001e0648f307,PoLo Node 12,PoLo Node,C4,0,,,,,
2cf7f12032304b8c,PoLo Node 13,PoLo Node,STM32WLE5JC,1,,,,,
001e0648c9f3,PoLo Node 13,PoLo Node,C4,0,,,,,
2cf7f12032303bf7,PoLo Node 14,PoLo Node,STM32WLE5JC,1,,,,,
001e064a151f,PoLo Node 14,PoLo Node,C4,0,,,,,
2cf7f12032303b16,PoLo Node 15,PoLo Node,STM32WLE5JC,1,,,,,
001e064a16ea,PoLo Node 15,PoLo Node,C4,0,,,,,
2cf7f120323034d8,PoLo Node 16,PoLo Node,STM32WLE5JC,1,,,,,
001e064a16d9,PoLo Node 16,PoLo Node,C4,0,,,,,
2cf7f12032304ce7,PoLo Node 17,PoLo Node,STM32WLE5JC,1,,,,,
001e064a16f3,PoLo Node 17,PoLo Node,C4,0,,,,,
2cf7f12032304a10,PoLo Node 18,PoLo Node,STM32WLE5JC,1,,,,,
001e0648efef,PoLo Node 18,PoLo Node,C4,0,,,,,
2cf7f12032303ad1,PoLo Node 19,PoLo Node,STM32WLE5JC,1,,,,,
001e064a16dc,PoLo Node 19,PoLo Node,C4,0,,,,,
2cf7f120323075e4,PoLo Node 20,PoLo Node,STM32WLE5JC,1,,,,,
001e064a1523,PoLo Node 20,PoLo Node,C4,0,,,,,
2cf7f12032303bdd,PoLo Node 21,PoLo Node,STM32WLE5JC,1,,,,,
001e064a147e,PoLo Node 21,PoLo Node,C4,0,,,,,
2cf7f12032304a0d,PoLo Node 22,PoLo Node,STM32WLE5JC,1,,,,,
001e0648d1c6,PoLo Node 22,PoLo Node,C4,0,,,,,
2cf7f12032304e7d,PoLo Node 23,PoLo Node,STM32WLE5JC,1,,,,,
001e064a16db,PoLo Node 23,PoLo Node,C4,0,,,,,
2cf7f12032303476,PoLo Node 24,PoLo Node,STM32WLE5JC,1,,,,,
001e0648f354,PoLo Node 24,PoLo Node,C4,0,,,,,
2cf7f120323020b9,PoLo Node 25,PoLo Node,STM32WLE5JC,1,,,,,
001e0648f325,PoLo Node 25,PoLo Node,C4,0,,,,,
2cf7f12032303bdb,SoLo Node 01,SoLo Node,STM32WLE5JC,1,,,,,
001e064a16ed,SoLo Node 01,SoLo Node,C4,0,,,,,
2cf7f12032304c8d,SoLo Node 02,SoLo Node,STM32WLE5JC,1,,,,,
001e064a151c,SoLo Node 02,SoLo Node,C4,0,,,,,
2cf7f12032303ccc,SoLo Node 03,SoLo Node,STM32WLE5JC,1,,,,,
001e0648f292,SoLo Node 03,SoLo Node,C4,0,,,,,
2cf7f12032304b02,SoLo Node 04,SoLo Node,STM32WLE5JC,1,,,,,
001e064a16d7,SoLo Node 04,SoLo Node,C4,0,,,,,
2cf7f12032303da2,SoLo Node 05,SoLo Node,STM32WLE5JC,1,,,,,
001e064a16df,SoLo Node 05,SoLo Node,C4,0,,,,,
2cf7f12032306400,SoLo Node 06,SoLo Node,STM32WLE5JC,1,,,,,
001e064a16da,SoLo Node 06,SoLo Node,C4,0,,,,,
2cf7f120323039e1,SoLo Node 07,SoLo Node,STM32WLE5JC,1,,,,,
001e064a16ee,SoLo Node 07,SoLo Node,C4,0,,,,,
001e0610c0e4,WSTC Test Node 01,Test Node,N2,1,,,,,
001e064300c5,Active Pure Node,Test Node,N2,1,,,,,
001e064a151d,Mints Wearable Node 02,Wearable Node,C4,1,,,,,
001e064300d6,Mints Wearable Station 01,Wearable Station,N2,1,,,,,
e45f018020e9,Mints Wearable Node V5 01,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f018020cb,Mints Wearable Node V5 02,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f018020c7,Mints Wearable Node V5 03,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f017b9a66,Mints Wearable Node V5 04,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f01802105,Mints Wearable Node V5 05,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f017b9205,Mints Wearable Node V5 06,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f014e9af1,Mints Wearable Node V5 07,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f0149bde4,Mints Wearable Node V5 08,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
d83add3fa727,Mints Wearable Node V5 09,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
d83add3f5ee7,Mints Wearable Node V5 10,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f015559ff,Mints Wearable Node V5 11,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f01583a58,Mints Wearable Node V5 12,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f01585573,Mints Wearable Node V5 13,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
e45f015a5de0,Mints Wearable Node V5 14,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
d83add3f5f1f,Mints Wearable Node V5 15,Wearable Node,Rasberry Pi Zero 2W,1,,,,,
2cf7f1203230480a,vaLo Node 01,PoLo Node,STM32WLE5JC,1,,,,,
001e064a1520,vaLo Node 01,PoLo Node,C4,1,,,,,
2cf7f12032302d45,vaLo Node 02,PoLo Node,STM32WLE5JC,1,,,,,
001e064a87a6,vaLo Node 02,PoLo Node,C4,1,,,,,
2cf7f1203230216e,vaLo Node 03,PoLo Node,STM32WLE5JC,1,,,,,
001e064a870a,vaLo Node 03,PoLo Node,C4,1,,,,,
2cf7f12032301ecb,vaLo Node 04,PoLo Node,STM32WLE5JC,1,,,,,
001e064a87be,vaLo Node 04,PoLo Node,C4,1,,,,,
2cf7f1203230291a,vaLo Node 05,PoLo Node,STM32WLE5JC,1,,,,,
001e064a8687,vaLo Node 05,PoLo Node,C4,1,,,,,
2cf7f1203230214b,vaLo Node 06,PoLo Node,STM32WLE5JC,1,,,,,
001e064a8753,vaLo Node 06,PoLo Node,C4,1,,,,,
2cf7f12032301fda,vaLo Node 07,PoLo Node,STM32WLE5JC,1,,,,,
001e064a869e,vaLo Node 07,PoLo Node,C4,1,,,,,
2cf7f12032301e9b,vaLo Node 08,PoLo Node,STM32WLE5JC,1,,,,,
001e064a869c,vaLo Node 08,PoLo Node,C4,1,,,,,
2cf7f12032302e92,vaLo Node 09,PoLo Node,STM32WLE5JC,1,,,,,
001e064a87c9,vaLo Node 09,PoLo Node,C4,1,,,,,
2cf7f12032302dd6,vaLo Node 10,PoLo Node,STM32WLE5JC,1,,,,,
001e064a86ac,vaLo Node 10,PoLo Node,C4,1,,,,,
2cf7f1203230201d,vaLo Node 11,PoLo Node,STM32WLE5JC,1,,,,,
001e064a86c7,vaLo Node 11,PoLo Node,C4,1,,,,,
2cf7f12032302160,vaLo Node 12,PoLo Node,STM32WLE5JC,1,,,,,
001e064a8640,vaLo Node 12,PoLo Node,C4,1,,,,,
2cf7f12032301e08,vaLo Node 13,PoLo Node,STM32WLE5JC,1,,,,,
001e064a86ba,vaLo Node 13,PoLo Node,C4,1,,,,,
2cf7f12032302002,vaLo Node 14,PoLo Node,STM32WLE5JC,1,,,,,
001e064a8684,vaLo Node 14,PoLo Node,C4,1,,,,,
a8610a3234408703,Salor Node 01,Salor Node,MKRWAN 1310,1,,,,,
a8610a3230386e05,Salor Node 02,Salor Node,MKRWAN 1310,1,,,,,
a8610a34323b6413,Salor Node 03,Salor Node,MKRWAN 1310,1,,,,,
a8610a32302d6715,Salor Node 04,Salor Node,MKRWAN 1310,1,,,,,
a8610a3233458b03,Salor Node 05,Salor Node,MKRWAN 1310,1,,,,,
a8610a32333f7508,Salor Node 06,Salor Node,MKRWAN 1310,1,,,,,
a8610a343232730e,Salor Node 07,Salor Node,MKRWAN 1310,1,,,,,
a8610a3233368503,Salor Node 08,Salor Node,MKRWAN 1310,1,,,,,
a8610a3432385d10,Salor Node 09,Salor Node,MKRWAN 1310,1,,,,,
a8610a3432428d11,Salor Node 10,Salor Node,MKRWAN 1310,1,,,,,
a8610a343246750e,Salor Node 11,Salor Node,MKRWAN 1310,1,,,,,
a8610a3234208d16,Salor Node 12,Salor Node,MKRWAN 1310,1,,,,,
a8610a32302f8404,Salor Node 13,Salor Node,MKRWAN 1310,1,,,,,
a8610a3233349303,Salor Node 14,Salor Node,MKRWAN 1310,1,,,,,
a8610a34322a8711,Salor Node 15,Salor Node,MKRWAN 1310,1,,,,,
a8610a34321e6d13,Salor Node 16,Salor Node,MKRWAN 1310,1,,,,,
a8610a3234296817,Salor Node 17,Salor Node,MKRWAN 1310,1,,,,,
a8610a3233336204,Salor Node 18,Salor Node,MKRWAN 1310,1,,,,,
a8610a3432256513,Salor Node 19,Salor Node,MKRWAN 1310,1,,,,,
a8610a3230368504,Salor Node 20,Salor Node,MKRWAN 1310,1,,,,,
a8610a3230408504,Salor Node 21,Salor Node,MKRWAN 1310,1,,,,,
a8610a3233417008,Salor Node 22,Salor Node,MKRWAN 1310,1,,,,,
a8610a32342c6317,Salor Node 23,Salor Node,MKRWAN 1310,1,,,,,
a8610a32303f8004,Salor Node 24,Salor Node,MKRWAN 1310,1,,,,,
a8610a3230247804,Salor Node 25,Salor Node,MKRWAN 1310,1,,,,,
a8610a3234458a16,Salor Node 26,Salor Node,MKRWAN 1310,1,,,,,
a8610a3230308304,Salor Node 27,Salor Node,MKRWAN 1310,1,,,,,
a8610a32304b8504,Salor Node 28,Salor Node,MKRWAN 1310,1,,,,,
a8610a3234458c16,Salor Node 29,Salor Node,MKRWAN 1310,1,,,,,
a8610a3234298916,Salor Node 30,Salor Node,MKRWAN 1310,1,,,,,
a8610a32342f6217,Salor Node 31,Salor Node,MKRWAN 1310,1,,,,,
a8610a32342d6817,Salor Node 32,Salor Node,MKRWAN 1310,1,,,,,
a8610a343238750e,Salor Node 33,Salor Node,MKRWAN 1310,1,,,,,
a8610a32341f8a16,Salor Node 34,Salor Node,MKRWAN 1310,1,,,,,
001e064a872f,Mints Anemometer 01,Mints Anemometer,C4,1,,,,,
001e064a87a1,Mints Anemometer 02,Mints Anemometer,C4,1,,,,,

